file,sample_rate,shape,duration
wavs\142-orig.wav,16000,"(63186817,)",2865.615283446712
wavs\18-1259.wav,16000,"(83675520,)",3794.808163265306
wavs\18-1447.wav,16000,"(77465392,)",3513.1697052154195
wavs\18-540.wav,16000,"(68685313,)",3114.9801814058956
wavs\18-956.wav,16000,"(92318593,)",4186.7842630385485
wavs\19-1039.wav,16000,"(85643905,)",3884.0773242630385
wavs\19-108.wav,16000,"(58240897,)",2641.31052154195
wavs\19-1155.wav,16000,"(91483777,)",4148.924126984127
wavs\19-1189.wav,16000,"(72024193,)",3266.403310657596
wavs\19-123.wav,16000,"(107091840,)",4856.772789115646
wavs\19-1257.wav,16000,"(109648897,)",4972.739092970522
wavs\19-1414.wav,16000,"(66105985,)",2998.0038548752837
wavs\19-1434.wav,16000,"(85679617,)",3885.6969160997733
wavs\19-1442.wav,16000,"(59156737,)",2682.845215419501
wavs\19-199.wav,16000,"(60546049,)",2745.852562358277
wavs\19-251.wav,16000,"(100312328,)",4549.311927437641
wavs\19-292.wav,16000,"(74083200,)",3359.78231292517
wavs\19-309.wav,16000,"(58864513,)",2669.592426303855
wavs\19-351.wav,16000,"(84703105,)",3841.410657596372
wavs\19-357.wav,16000,"(78353665,)",3553.454195011338
wavs\19-368.wav,16000,"(58455169,)",2651.0280725623584
wavs\19-422.wav,16000,"(96856705,)",4392.594331065759
wavs\19-438.wav,16000,"(61547520,)",2791.2707482993196
wavs\19-508.wav,16000,"(64045440,)",2904.555102040816
wavs\19-511.wav,16000,"(79560960,)",3608.2068027210885
wavs\19-5410.wav,16000,"(69219840,)",3139.221768707483
wavs\19-546.wav,16000,"(61128193,)",2772.2536507936506
wavs\19-547.wav,16000,"(66915457,)",3034.7146031746033
wavs\19-5807.wav,16000,"(82483585,)",3740.7521541950114
wavs\19-71.wav,16000,"(58447489,)",2650.6797732426303
wavs\19-783.wav,16000,"(63483649,)",2879.077052154195
wavs\19-840.wav,16000,"(115883905,)",5255.50589569161
wavs\19-863.wav,16000,"(66996865,)",3038.4065759637188
wavs\19-8709.wav,16000,"(61393537,)",2784.2873922902495
wavs\19-897.wav,16000,"(62806273,)",2848.357052154195
wavs\19-930.wav,16000,"(60180480,)",2729.273469387755
wavs\19-963.wav,16000,"(66899713,)",3034.000589569161
wavs\19-968.wav,16000,"(88806529,)",4027.506984126984
wavs\20-107.wav,16000,"(66064513,)",2996.123038548753
wavs\20-157.wav,16000,"(98025985,)",4445.622902494331
wavs\20-18.wav,16000,"(35192642,)",1596.0381859410431
wavs\20-222.wav,16000,"(80037889,)",3629.8362358276645
wavs\20-255.wav,16000,"(107111809,)",4857.678412698413
wavs\20-297.wav,16000,"(86832769,)",3937.994058956916
wavs\20-315.wav,16000,"(56763265,)",2574.297732426304
wavs\20-334.wav,16000,"(67840897,)",3076.684671201814
wavs\20-366.wav,16000,"(89537665,)",4060.6650793650792
wavs\20-382.wav,16000,"(50495617,)",2290.050657596372
wavs\20-437.wav,16000,"(48200449,)",2185.9614058956918
wavs\20-440.wav,16000,"(85384320,)",3872.304761904762
wavs\20-444.wav,16000,"(46099200,)",2090.6666666666665
wavs\20-472.wav,16000,"(95738880,)",4341.899319727891
wavs\20-512.wav,16000,"(90229633,)",4092.046848072562
wavs\20-543.wav,16000,"(100003969,)",4535.327392290249
wavs\20-5904.wav,16000,"(79368960,)",3599.4993197278914
wavs\65-orig.wav,16000,"(71796480,)",3256.0761904761903
